merchant_id,merchant_name,shop_description,shop_photo,shop_id,shop_name,shop_category,order_count,busi_dt,shop_category_id,category_id,row_num
11371,มนต์นมสด ( สาขา เสาชิงช้า),ขายขนมปัง สังขยา นมสด,1616228248540_48R8J8BLOS.jpg,11727,มนต์นมสด ( สาขา เสาชิงช้า),bakery,190669,2024-06-04,,1,1
57949,มนต์นมสด สาขาอิสรภาพ /Mont Nomsod Issaraphap Branch,เราจำหน่าย ขนมปังปิ้ง นึ่ง สังขยาหน้าต่างๆ นมสด ชา กาแฟ เบเกอรี่หลากหลาย พร้อมเสิร์ฟใหม่ สด ทุกวัน,1613195841214_TJTREDKYHR.jpg,62510,มนต์นมสด สาขาอิสรภาพ /Mont Nomsod Issaraphap Branch,bakery,118473,2024-06-04,,1,2
36028,อาม้าเบเกอรี่ (วัดแขก ไม่มีสาขา),ร้านอาม้าเบเกอรี่ (ไม่มีสาขา) ตั้งอยู่บนถนนสีลม ก่อนถึงวัดแขก จำหน่ายขนมปังสังขยา และไส้อื่นๆ สามารถสั่งสินค้าล่วงหน้าผ่านทางไลน์ อย่างน้อย 2 วัน(@amabakery),1607499470407_P7SGWTESOL.jpg,38385,อาม้าเบเกอรี่ (วัดแขก ไม่มีสาขา),bakery,44625,2024-06-04,,1,3
15606,เค้กต้นกก สามย่าน tonkok,"เค้กส้ม เค้กช็อก
คู่สามย่านกว่า 20ปี",1601812743013_7YPVD5WINC.jpg,16466,เค้กต้นกก สามย่าน tonkok,bakery,35642,2024-06-04,,1,4
85611,Captain Squid กัปตันสควิด สาขาศาลาแดง,ร้านครัวซองค์เนยสดฝรั่งเศส ต้นตำรับ ขนาดมินิ และขนาดใหญ่ มีให้เลือกมากกว่า 15 ไส้,1622869931371_ETEPC1D0V3.jpg,93617,Captain Squid กัปตันสควิด สาขาศาลาแดง,bakery,27300,2024-06-04,,1,5
10152,ภัค เบเกอรี่,Pak Bakery,1622345091672_YTWFQHMQU9.jpg,10450,ภัค เบเกอรี่,bakery,26741,2024-06-04,,1,6
29011,ยำจี๊ดจ้าด53/1 ยำมะม่วง ข้าวโพด มาม่า วุ้นเส้น,,1607022370092_QKYZF0VFFI.jpg,31105,ยำจี๊ดจ้าด53/1 ยำมะม่วง ข้าวโพด มาม่า วุ้นเส้น,bakery,24126,2024-06-04,,1,7
136583,saki club,"Old School Bakery Style 
ขนมที่ดี ไม่มีสารกันบูดเจือปน",1652172653045_F7E6N0SR63.jpg,150732,saki club,bakery,23571,2024-06-04,,1,8
13139,ร้านไอนม ปังเนย สายไหม 21,เมนูนมสด  น้ำผลไม้ปั่น  ปังเย็น       ปังปิ้ง ชานมไข่มุก,1610559941365_0HD7FJ05Y0.jpg,13810,ร้านไอนม ปังเนย สายไหม 21,bakery,21522,2024-06-04,,1,9
57223,นม-เนย เบเกอรี่,"ความอร่อยที่เป็น ""ตำนาน"" ยาวนานกว่า 20 ปี ขนมปังนมสด หอมนุ่ม ชุ่มเนย หลากหลายไส้ ขนมปังเหนียวนุ่ม ไส้แน่น สังขยาใบเตยหอมกะทิคั้นสด ข้นมัน หวานน้อย ขนมปังแฮมชีส ฉ่ำเยิ้ม ขนมปังเนยเยิ้ม สำหรับคนรักเนย ฯ",1645433726202_W6Q5X2WPQH.jpg,61649,นม-เนย เบเกอรี่,bakery,20872,2024-06-04,,1,10
62205,ขนมปังเจ้าอร่อยเด็ดเยาวราช สาขาเอ็มควอเทียร์,ขนมปังเยาวราชที่ส่งตรงความอร่อยถึงบ้าน สดใหม่ทุกวัน ไม่ต้องรอคิวนานของ เป็นสาขาในการดูแลของร้านเยาวราชโดยตรง,1678427580432_G5S7V3YUML.jpg,67401,ขนมปังเจ้าอร่อยเด็ดเยาวราช สาขาเอ็มควอเทียร์,bakery,19111,2024-06-04,,1,11
39582,ยำแซ่บนัวส์ ครัวฮาลาล,อาหารอีสาน ยำ จิ้มจุ่ม ฮาลาล,1624965632192_Y6ZDS7BXRY.jpg,42034,ยำแซ่บนัวส์ ครัวฮาลาล,bakery,17507,2024-06-04,,1,12
53946,ร้านยำจ๊ะจี๊ดจ๊าด,ยำสด รสแซ่บ ขายมานานกว่า15ปี สารพัดยำตำจี๊ดจ๊าด สารพัดยำตำแซ่บเหนือจินตนาการ,1628163751674_BFSP4KTE23.jpg,57793,ร้านยำจ๊ะจี๊ดจ๊าด,bakery,16294,2024-06-04,,1,13
57134,DK Bakery,ดีเค เบเกอรี่,1653460678914_G9SRQ9KJHA.jpg,61538,DK Bakery,bakery,15833,2024-06-04,,1,14
23148,มีนัด คาเฟ่,ขนม และอาหารคลีน คีโต เพื่อสุขภาพ,1626028800376_51OJMVEGC1.jpg,25018,มีนัด คาเฟ่,bakery,14582,2024-06-04,,1,15
184224,ปังตั้งตัว โชคชัย4 ขนมปังปิ้งไส้ทะลัก,ขนมปังปิ้งไส้ทะลัก by ปังตั้งตัว โชคชัย4 และหม่าล่าเสียบไม้ เผ็ด ชา สไตล์จีน,1644165414083_SZML6FF4V7.jpg,203941,ปังตั้งตัว โชคชัย4 ขนมปังปิ้งไส้ทะลัก,bakery,14394,2024-06-04,,1,16
147807,ชิฟฟ่อนเบเกอรี่เทเวศร์,"เค้กชิฟฟ่อนใบเตยแห่งแรกในเทเวศร์
ชิฟฟ่อนมีกล่อง 10/20 ชิ้น หรือ 10ชิ้นขึ้นไป
แยมโรล บัตเต้อร์เค้ก 5 ชิ้นขึ้นไป 
เค้กหน้าชิ้นเล็ก 2 ชิ้นขึ้นไปค่ะ",1634284339212_GFSSYWIP2X.jpg,163504,ชิฟฟ่อนเบเกอรี่เทเวศร์,bakery,14354,2024-06-04,,1,17
95854,ยำคุณแม็ค ยี่สิบบาททุกยำ,ยำ20ทุกยำและทุกอย่าง พิกัดรามคำแหง65 ลาดพร้าว122 มีห้องแอร์บริการ,1639648639881_1AQAVM48TM.jpg,104965,ยำคุณแม็ค ยี่สิบบาททุกยำ,bakery,13747,2024-06-04,,1,18
86380,หนิงนมสด,"สาขา 1 หลังธ.กรุงเทพสาขาสมุทรปราการ
สาขา 2 ทางไปรพ.เมืองสมุทรปากน้ำ 
ตรงข้ามสนามพระวัดพิชัยสงคราม",1622722828926_1CBPWO0L3L.jpg,94479,หนิงนมสด,bakery,13317,2024-06-04,,1,19
90281,อ๊อฟ นมซิ่ง ม.เกษตร,นมสด ชนมปังปิ้ง,1628505402257_ZZBOMNW7JY.jpg,98808,อ๊อฟ นมซิ่ง ม.เกษตร,bakery,13132,2024-06-04,,1,20
149968,GODFATHER-19BKK,ร้านเบอร์เกอร์ทรัฟเฟิลที่ไม่ได้ขายแค่เบอร์เกอร์และไม่เหมือนใครในย่านนี้ๆๆๆๆๆ,1634880226575_OG3EIMNRL1.jpg,165920,GODFATHER-19BKK,burgers,6805,2024-06-04,,2,1
112479,BIG BUNG GER ถนนราษฎอุทิศ,เบอร์เกอร์ ฮาลาล HALAL BURGER,1692174306303_57HSL4EM1O.jpg,123495,BIG BUNG GER ถนนราษฎอุทิศ,burgers,4584,2024-06-04,,2,2
97555,IdahoBurger,สเต็ก เบอร์เกอร์ สลัด ยำ,1627378613869_XYRPVIZBQX.jpg,106861,IdahoBurger,burgers,3574,2024-06-04,,2,3
190898,โฮมเบอร์เกอร์ homeburger,แฮมเบอร์เกอร์ โฮมเมด วัตถุดิบคุณภาพ,1645967192750_CV41DU8EUO.jpg,211594,โฮมเบอร์เกอร์ homeburger,burgers,3299,2024-06-04,,2,4
57899,Burg Republic สาขารามคำแหง,The Best Halal American Burger In Bkk.,1674108230157_EP55LH7DN5.jpg,62448,Burg Republic สาขารามคำแหง,burgers,2987,2024-06-04,,2,5
92331,BAB BUNG BURGER บั๊บบังเบอร์เกอร์(ฮาลาล),เบอร์เกอร์สไตล์โฮมเมดฮาลาล เนื้อเน้นๆ เต็มๆคำ ซอยรามคำแหง  51,1701955086117_RR7H53PH4Y.jpg,101087,BAB BUNG BURGER บั๊บบังเบอร์เกอร์(ฮาลาล),burgers,2436,2024-06-04,,2,6
62078,The Burger Houses,Homemade Burger ทำสดใหม่ทุกชิ้น เนื้อแน่นๆเต็มคำ พร้อมเสิร์ฟถึงมือคุณ,1697626935280_VU9FBEKZYR.jpg,67255,The Burger Houses,burgers,2287,2024-06-04,,2,7
33801,อาแบ เบอร์เกอร์,เบอร์เกอร์สายพันธ์มาเลย์ เบอร์เกอร์ฮาลาล ราคาสบายกระเป๋า,1621085457561_23G725GTA4.jpg,36083,อาแบ เบอร์เกอร์,burgers,1975,2024-06-04,,2,8
22335,บังเกอร์ เบอเกอร์&สเต็ก,Real burger .. Premium street food อาหารสตรีทฟู๊ด ที่เราตั้งใจทำโดยการใช้วัตถุดิคุณภาพดี ไม่ใช่เป็นอาหารขยะ วัตถุดิบทุกอย่างในร้านเป็น Home made เตรียมสดใหม่วันต่อวัน ทำสดใหม่ชิ้นต่อชิ้น,1647151445138_HJSXS30NWD.jpg,24142,บังเกอร์ เบอเกอร์&สเต็ก,burgers,1955,2024-06-04,,2,9
45399,19 Burger               สาขากรุงเทพกรีฑา7 สวนสน,สาขานี้มีเมนูและราคาเท่ากับสาขาแรก ความอร่อยยังคงเหมือนเดิม,1716356054812_4YCBNBAL89.jpg,149362,19 Burger               สาขากรุงเทพกรีฑา7 สวนสน,burgers,1811,2024-06-04,,2,10
16329,บาร์เร่อเกอร์ เบอร์เกอร์ สาขาวัดเกาะ,แฮมเบอร์เกอร์ homemade ราคาเริ่มต้นที่ 39 บาท,1602068706835_O2N75WOPRY.jpg,17285,บาร์เร่อเกอร์ เบอร์เกอร์ สาขาวัดเกาะ,burgers,1639,2024-06-04,,2,11
21492,คุณนายเบอร์เกอร์,แฟลต8ชั้น อาคาร1  ร้านอยู่ติดกับ 7-11  (ป้ายหน้าร้าน มีป้ายไปรษณีย์ติดอยู่),1611214942620_Y1826X1KSD.jpg,23240,คุณนายเบอร์เกอร์,burgers,1530,2024-06-04,,2,12
107193,Tiger burgest ลาดพร้าว107,แฮมเบอร์เกอร์ คนไทยรสชาติถูกปาก คุณภาพดี ราคาไม่แพง,1655193239953_TEE1YFE6EC.jpg,117673,Tiger burgest ลาดพร้าว107,burgers,1525,2024-06-04,,2,13
73652,สามล้อ Burger,ร้าน Burger homemade ราคาย่อมเยาว์,1628311800155_KKR1S5NC5Q.jpg,80483,สามล้อ Burger,burgers,1491,2024-06-04,,2,14
140377,19 burger @จรัญฯ75,"เบอร์เกอร์ เคบับ ฮาล้าล ในย่านบางพลัด
มีหลากหลายรสชาติ ในราคาเบาๆ

เปิด 12.00 น.
ปิดรับออร์เดอร์ 19.30 น.",1632733753175_H0QJIY9BID.jpg,155277,19 burger @จรัญฯ75,burgers,1370,2024-06-04,,2,15
